,index,propertyCode,thumbnail,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,highlight,topNewDevelopment,superTopHighlight,externalReference,floor,exterior,district,neighborhood,hasLift,parkingSpace,labels
10,10,98008276,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9c/0c/2f/1139446995.jpg,1,66700.0,flat,sale,70.0,2,1,Calle José del Pino Jiménez s/n,Madrid,Madrid,es,40.3454308,-3.7143206,True,https://www.idealista.com/inmueble/98008276/,10468,"Piso en madrid capital, en la calle cljose del pino jimenez.",False,good,False,953.0,{'typology': 'flat'},"{'subtitle': 'Villaverde Alto, Madrid', 'title': 'Piso en Calle José del Pino Jiménez s/n'}",False,False,False,False,,False,False,0046862493,,,Villaverde,Villaverde Alto,,,
11,11,96203141,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c1/d8/df/940236797.jpg,17,57200.0,chalet,sale,193.0,6,2,Noblejas,Toledo,Noblejas,es,39.9769931,-3.4396305,False,https://www.idealista.com/inmueble/96203141/,55485,"Casa de 194 m², de 6 dormitorios y 2 baños, en venta en la localidad de Noblejas, Toledo. La vivienda se sitúa en el núcleo urbano de la población, siendo su principal vía de comunicación la carretera N-400. Ofrece conexión mediante transporte público al estar a pocos metros de la estación de tren. En la población podemos encontrar servicios como supermercados, restaurantes, instalaciones deportivas, centros educativos, oficinas bancarias, otros negocios comerciales, etc. Cerca del ayuntamiento y del Centro de Salud. Se trata de una casa adosada de 194 m² distribuidos en salón-comedor, cocina, 6 dormitorios y 2 baños. Con nuestros servicios podrá encontrar la vivienda que necesita y asegurar su inversión con el mejor de los asesoramientos especializados. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente.",False,good,False,296.0,{'typology': 'chalet'},"{'subtitle': 'Noblejas', 'title': 'Chalet'}",False,False,False,False,,False,False,A0-99520-0001,,,,,,,
12,12,100281071,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/02/7b/96/1089961539.jpg,6,75000.0,flat,sale,605.0,5,3,"Calle Escarchada, 25",Madrid,Belmonte de Tajo,es,40.1344792,-3.3379556,True,https://www.idealista.com/inmueble/100281071/,45067,"SegundoB comercializa en exclusiva y sin comisión de agencia este edificio de 606m2 en Belmonte de Tajo, Madrid. Fantástica promoción de 14 pisos en construcción en la localidad de Belmonte de Tajo. Situada en el interior de la población, cuenta con estupendos accesos tanto a la carretera principal del municipio, como a la M-404 con acceso directo a la A3, a tan solo 10 minutos de localidades como Chinchon y Colmenar de Oreja, hace que la comunicación sea excelente. Podrás disfrutar de la tranquilidad que te ofrece un pueblo tranquilo de 1700 habitantes, pero a su vez, con una gran actividad. Dispone de transporte publico y todo tipo de comercios como bares, restaurantes, bazares, tiendas, supermercados y monumentos históricos,  Esta obra parada tiene una construcción realizada de un 10.20%, de la que poseemos el 88% de la propiedad (14 viviendas). El edificio esta constituido por 16 viviendas y 16 plazas de garaje. Con una edificabilidad de 4 plantas, 1 bajo rasante y 3 sobre rasante. No dejes pasar esta oportunidad y contacta con nosotros. Te informaremos sin ningún compromiso.",False,renew,False,124.0,{'typology': 'flat'},"{'subtitle': 'Belmonte de Tajo', 'title': 'Piso en Calle Escarchada, 25'}",False,False,False,False,,False,False,1066958/1,,True,,,,,
13,13,102773659,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ea/b0/7c/1166831536.jpg,1,1370000.0,flat,sale,258.0,5,3,Calle de Serrano,Madrid,Madrid,es,40.4546242,-3.680156,False,https://www.idealista.com/inmueble/102773659/,2061,"Ponemos a su disposición una gran oportunidad para situarse en una de las zonas más cotizadas de Madrid.  Se trata de un piso completamente exterior de grandes dimensiones en la zona alta de Serrano entre Concha Espina y Príncipe de Vergara.  Cuenta con numerosas estancias según se quieran distribuir y sobretodo con gran amplitud, espacios grandes y todas las posibilidades de hacerlo a su gusto.  Es una vivienda con zona de servicio, una plaza de garaje, un jardín grande con zonas verdes para uso y disfrute de las personas del edificio, y con todas las ventajas de estar en una de las mejores calles de Madrid, pero con las conexiones y buena ubicación que tiene esta zona. Lo ponemos a su disposición en exclusiva y sin coste de agencia.  No dude en solicitar información, le ayudamos con los tramites administrativos, fiscales y con el proyecto de reforma.",False,renew,False,5310.0,{'typology': 'flat'},"{'subtitle': 'Bernabéu-Hispanoamérica, Madrid', 'title': 'Piso en Calle de Serrano'}",False,False,False,False,,False,False,,3,True,Chamartín,Bernabéu-Hispanoamérica,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
14,14,98703219,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c2/b6/e2/1021025685.jpg,4,32000.0,flat,sale,72.0,3,1,Calle Francisco de Medina y Mendoza s/n,Guadalajara,Cabanillas del Campo,es,40.6283925,-3.2213835,True,https://www.idealista.com/inmueble/98703219/,44945,"Piso en la provincia de guadalajara, en el municipio de cabanillas del campo, en la calle clfrancisco medina y mendoz. Con incidencias: inmueble okupado-no visitable.",False,good,False,444.0,{'typology': 'flat'},"{'subtitle': 'Cabanillas del Campo', 'title': 'Piso en Calle Francisco de Medina y Mendoza s/n'}",False,False,False,False,,False,False,0050110556,,,,,,,
15,15,101962077,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c9/af/da/1139526735.jpg,12,50000.0,flat,sale,80.0,2,1,Calle José Peña,Toledo,Ocaña,es,39.9524606,-3.4958492,False,https://www.idealista.com/inmueble/101962077/,56437,"Investment Group10 vende una vivienda situada en edificio Plurifamiliar en altura de 5 plantas, una de ellas bajo rasante donde se ubican los garajes y trasteros, zonas comunes de tránsito en el municipio de Ocaña en la provincia de Toledo. La vivienda esta distribuida en salón con cocina, 2 dormitorios y 1 baño. El municipio se encuentra situado ""al extremo N. de la llanura llamada Mesa de Ocaña, linda con los términos municipales de Aranjuez al noroeste en la provincia de Madrid, Ontígola al norte, Noblejas al este, Villatobas al sureste, Dosbarrios, Cabañas de Yepes y Huerta de Valdecarábanos al sur y Yepes y Ciruelos al oeste, en la de Toledo. Este inmueble cuenta con plaza de garaje y trastero incluido en el precio. Si necesita más información no dude en llamarnos al: // ¡ESTAREMOS ENCANTADOS DE ATENDERL@S! (También atendemos vía WhatsApp).",False,good,False,625.0,{'typology': 'flat'},"{'subtitle': 'Puerta de Murcia - Colegios, Ocaña', 'title': 'Piso en Calle José Peña'}",False,False,False,False,,False,False,UCJ-LT49736776,2,True,Puerta de Murcia - Colegios,,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
16,16,94806759,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fe/3c/3f/1089230541.jpg,45,24500.0,chalet,sale,160.0,3,1,"Cuesta Derrumbaderos, 16",Toledo,Noblejas,es,39.9801232,-3.4428856,True,https://www.idealista.com/inmueble/94806759/,55058,"SegundoB comercializa esta casa a reformar en Noblejas, Toledo. Se trata de una vivienda de dos plantas con 3 dormitorios, bodega y un pequeño patio Una vivienda para rehabilitar y disfrutar como segunda residencia en un precioso pueblo de Toledo No dude en informarse y conseguir su mejor precio con SegundoB Rea Estate.",False,good,False,153.0,{'typology': 'chalet'},"{'subtitle': 'Noblejas', 'title': 'Chalet en Cuesta Derrumbaderos, 16'}",False,False,False,False,,False,False,XE60577945,,,,,,,
17,17,101961445,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b0/93/7b/1139506828.jpg,12,35000.0,flat,sale,56.0,1,1,Jose María Peña,Toledo,Ocaña,es,39.9559511,-3.4983367,False,https://www.idealista.com/inmueble/101961445/,56004,"Investment Group10 vende una vivienda situada en edificio Plurifamiliar en altura de 5 plantas, una de ellas bajo rasante donde se ubican los garajes y trasteros, zonas comunes de tránsito en el municipio de Ocaña en la provincia de Toledo. La vivienda esta distribuida en salón con cocina, 2 dormitorios y 1 baño. El municipio se encuentra situado ""al extremo N. de la llanura llamada Mesa de Ocaña, linda con los términos municipales de Aranjuez al noroeste en la provincia de Madrid, Ontígola al norte, Noblejas al este, Villatobas al sureste, Dosbarrios, Cabañas de Yepes y Huerta de Valdecarábanos al sur y Yepes y Ciruelos al oeste, en la de Toledo. Si necesita más información no dude en llamarnos al: // ¡ESTAREMOS ENCANTADOS DE ATENDERL@S! (También atendemos vía WhatsApp).",False,good,False,625.0,{'typology': 'flat'},"{'subtitle': 'Puerta de Murcia - Colegios, Ocaña', 'title': 'Piso en Jose María Peña'}",False,False,False,False,,False,False,UCJ-0049736678,1,True,Puerta de Murcia - Colegios,,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 2000.0}",
18,18,100662037,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/57/5f/80/1094963630.jpg,17,92000.0,flat,sale,61.0,3,1,LEGANES,Madrid,Humanes de Madrid,es,40.2571475,-3.8260982,False,https://www.idealista.com/inmueble/100662037/,23145,"Piso de 61 m², de 3 dormitorios y 1 baños, en venta en Humanes de Madrid. La vivienda se sitúa en el núcleo de la población, teniendo buenos accesos por carretera. También ofrece conexión por transporte público al estar cerca de varias paradas de autobús y de la estación de tren. En la población podemos encontrar servicios como supermercados, restaurantes, instalaciones deportivas, centros educativos, oficinas bancarias, otros negocios comerciales, etc. Cerca de la galería comercial Alarcón. Se trata de un piso de 61 m² distribuidos en salón-comedor, cocina, balcón, 3 dormitorios y 1 baños. Por todo ello, la convierten en una propuesta inteligente y una estupenda opción para construir un hogar y entrar a vivir de inmediato. Inmueble en Oferta Periodo de Transparencia hasta el próximo 10 octubre.",False,renew,False,1508.0,{'typology': 'flat'},"{'subtitle': 'Humanes de Madrid', 'title': 'Piso en Leganes'}",False,False,False,False,,False,False,3HUMANES00936LEGANES,3,True,,,False,,
19,19,97937556,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c1/88/12/1063513999.jpg,2,28600.0,flat,sale,50.0,2,1,Yeles,Toledo,Yeles,es,40.12057,-3.80346,False,https://www.idealista.com/inmueble/97937556/,36553,"Piso en la provincia de toledo, en el municipio de yeles, en la calle cllavaderos. Con incidencias: inmueble okupado-no visitable.",False,good,False,572.0,{'typology': 'flat'},"{'subtitle': 'Yeles', 'title': 'Piso'}",False,False,False,False,,False,False,0049748095,,,,,,,
